"jurisdiction_of_occurrence","mmwryear","mmwrweek","weekendingdate","allcause","naturalcause","septicemia_a40_a41","malignant_neoplasms_c00_c97","diabetes_mellitus_e10_e14","alzheimer_disease_g30","influenza_and_pneumonia_j10","chronic_lower_respiratory","other_diseases_of_respiratory","nephritis_nephrotic_syndrome","symptoms_signs_and_abnormal","diseases_of_heart_i00_i09","cerebrovascular_diseases","flag_otherresp","flag_inflpn","flag_nephr","flag_sept","flag_diab","flag_otherunk","flag_alz","flag_clrd","flag_stroke","flag_hd","flag_neopl"
"Delaware","2016","37","2016-09-17T00:00:00.000","164","147",NA,"31",NA,NA,NA,NA,NA,NA,NA,"35",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2016","38","2016-09-24T00:00:00.000","181","170",NA,"43",NA,NA,NA,"15",NA,NA,NA,"38","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2016","39","2016-10-01T00:00:00.000","164","153",NA,"37",NA,NA,"0","11",NA,NA,NA,"39",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"Delaware","2016","40","2016-10-08T00:00:00.000","172","162",NA,"51",NA,NA,NA,"10",NA,NA,NA,"37",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"Florida","2015","42","2015-10-24T00:00:00.000","3580","3287","32","825","103","149","40","193","42","70","43","880","209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware","2016","41","2016-10-15T00:00:00.000","159","152",NA,"30",NA,"10",NA,NA,NA,NA,NA,"44","16","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2016","42","2016-10-22T00:00:00.000","196","179",NA,"51",NA,NA,NA,"11",NA,NA,"0","43","14","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2016","43","2016-10-29T00:00:00.000","166","153",NA,"28",NA,NA,NA,NA,NA,NA,NA,"40","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2016","44","2016-11-05T00:00:00.000","181","167",NA,"47",NA,NA,NA,"12",NA,NA,NA,"40",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"Delaware","2016","45","2016-11-12T00:00:00.000","183","168","0","44","10",NA,NA,NA,NA,NA,NA,"33","17","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2016","46","2016-11-19T00:00:00.000","190","171",NA,"46",NA,NA,"0",NA,NA,NA,"0","51","10","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2016","47","2016-11-26T00:00:00.000","162","139",NA,"34",NA,NA,NA,NA,NA,NA,NA,"31","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2016","48","2016-12-03T00:00:00.000","169","155",NA,"36",NA,NA,NA,"11",NA,NA,NA,"40","12","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2016","49","2016-12-10T00:00:00.000","182","162",NA,"45",NA,NA,NA,NA,NA,NA,NA,"35","12","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
