"jurisdiction_of_occurrence","mmwryear","mmwrweek","weekendingdate","allcause","naturalcause","septicemia_a40_a41","malignant_neoplasms_c00_c97","diabetes_mellitus_e10_e14","alzheimer_disease_g30","influenza_and_pneumonia_j10","chronic_lower_respiratory","other_diseases_of_respiratory","nephritis_nephrotic_syndrome","symptoms_signs_and_abnormal","diseases_of_heart_i00_i09","cerebrovascular_diseases","flag_otherresp","flag_inflpn","flag_nephr","flag_sept","flag_diab","flag_otherunk","flag_alz","flag_clrd","flag_stroke","flag_hd","flag_neopl"
"Florida","2014","43","2014-10-25T00:00:00.000","3381","3149","38","854","81","112","36","195","49","47","65","822","199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","44","2014-11-01T00:00:00.000","3501","3261","43","859","85","130","60","173","49","48","49","817","205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","45","2014-11-08T00:00:00.000","3646","3369","44","838","121","140","48","222","48","42","64","846","211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","46","2014-11-15T00:00:00.000","3615","3346","43","828","110","133","51","209","39","70","80","827","214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","47","2014-11-22T00:00:00.000","3672","3383","39","824","109","135","63","206","45","59","56","886","218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","48","2014-11-29T00:00:00.000","3707","3422","41","837","94","159","44","215","45","62","60","938","226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","49","2014-12-06T00:00:00.000","3816","3518","52","845","109","163","66","248","34","70","69","872","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","50","2014-12-13T00:00:00.000","3805","3515","43","821","130","133","64","220","55","53","72","937","247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","51","2014-12-20T00:00:00.000","3994","3667","54","850","108","153","86","235","43","64","86","969","257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","52","2014-12-27T00:00:00.000","4009","3713","48","862","108","139","73","255","55","67","72","1012","217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2014","53","2015-01-03T00:00:00.000","4135","3823","49","830","100","144","90","289","56","74","71","1030","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","1","2015-01-10T00:00:00.000","4068","3774","52","857","104","146","91","288","59","80","63","967","228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","2","2015-01-17T00:00:00.000","4093","3793","61","797","127","157","95","286","57","76","93","994","243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","3","2015-01-24T00:00:00.000","4062","3736","49","868","132","163","85","269","51","69","79","992","238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","4","2015-01-31T00:00:00.000","3987","3702","50","842","114","123","65","272","58","63","71","988","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","5","2015-02-07T00:00:00.000","4145","3842","48","888","112","135","87","289","47","77","90","1033","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","6","2015-02-14T00:00:00.000","4049","3755","50","899","136","134","77","246","57","71","76","981","237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","7","2015-02-21T00:00:00.000","4128","3820","51","844","136","162","63","274","49","68","71","979","264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","8","2015-02-28T00:00:00.000","4204","3894","45","902","123","148","73","300","43","72","74","1037","243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","9","2015-03-07T00:00:00.000","3967","3697","51","844","125","136","68","243","66","83","77","972","239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","10","2015-03-14T00:00:00.000","3981","3685","65","855","127","144","67","258","54","76","66","970","235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","11","2015-03-21T00:00:00.000","3995","3706","44","901","103","132","52","235","55","76","64","1001","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","12","2015-03-28T00:00:00.000","3858","3554","47","869","94","129","54","276","50","62","76","979","218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","13","2015-04-04T00:00:00.000","3934","3637","47","882","101","141","69","254","45","71","72","949","241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","14","2015-04-11T00:00:00.000","3704","3455","52","839","98","132","54","288","44","58","64","890","236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","15","2015-04-18T00:00:00.000","3794","3500","46","828","97","124","52","275","35","76","71","950","206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","16","2015-04-25T00:00:00.000","3667","3392","47","816","94","131","52","234","35","62","67","903","205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","17","2015-05-02T00:00:00.000","3617","3331","49","824","106","126","56","237","49","57","57","819","223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","18","2015-05-09T00:00:00.000","3809","3493","38","922","112","138","49","222","42","57","60","865","234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","19","2015-05-16T00:00:00.000","3777","3476","44","853","105","136","53","235","51","63","58","919","211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","1","2014-01-04T00:00:00.000","54065","50189","882","11244","1654","1780","1639","3331","756","965","679","13166","2669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","2","2014-01-11T00:00:00.000","56353","52450","905","11504","1735","1917","1910","3444","845","1098","665","13663","2738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","20","2015-05-23T00:00:00.000","3542","3276","48","819","89","142","49","225","49","38","52","835","211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","21","2015-05-30T00:00:00.000","3602","3294","39","833","101","127","38","208","42","51","55","867","202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","22","2015-06-06T00:00:00.000","3502","3209","45","790","106","132","44","229","40","67","54","818","214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","23","2015-06-13T00:00:00.000","3565","3272","46","819","94","124","45","227","48","54","56","824","209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","2015","24","2015-06-20T00:00:00.000","3602","3299","50","826","106","117","36","207","35","56","53","860","223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","3","2014-01-18T00:00:00.000","54769","51043","919","11496","1660","1914","1920","3333","812","1056","598","12928","2714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","4","2014-01-25T00:00:00.000","54223","50560","845","11629","1602","1862","1765","3467","753","1029","622","12813","2720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","5","2014-02-01T00:00:00.000","54074","50402","890","11584","1586","1867","1642","3283","720","998","664","12896","2699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","6","2014-02-08T00:00:00.000","53484","49790","849","11355","1643","1873","1528","3351","728","1038","641","12681","2684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","7","2014-02-15T00:00:00.000","53910","50175","851","11477","1642","1843","1472","3303","739","1021","638","12984","2669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","8","2014-02-22T00:00:00.000","52752","49010","708","11478","1564","1814","1269","3047","731","973","643","12577","2799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","9","2014-03-01T00:00:00.000","51768","47907","779","11251","1588","1776","1228","3008","687","1018","595","12248","2630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","10","2014-03-08T00:00:00.000","52163","48353","777","11535","1536","1830","1215","3043","760","1040","642","12318","2529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","11","2014-03-15T00:00:00.000","51912","48111","819","11340","1584","1775","1153","3112","730","987","611","12375","2555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","12","2014-03-22T00:00:00.000","51487","47779","797","11406","1487","1825","1163","3048","762","983","561","12178","2632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","13","2014-03-29T00:00:00.000","50945","47494","748","11533","1491","1821","1117","3026","691","913","575","12180","2519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","14","2014-04-05T00:00:00.000","50948","47201","746","11352","1507","1654","1059","3005","751","973","604","12083","2563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","15","2014-04-12T00:00:00.000","50793","46955","733","11368","1456","1725","1131","2956","761","890","582","12053","2569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","16","2014-04-19T00:00:00.000","49976","46261","708","11197","1496","1709","1054","2904","730","903","551","11819","2473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","17","2014-04-26T00:00:00.000","49997","46257","735","11186","1433","1639","1021","2956","712","885","661","11781","2532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","18","2014-05-03T00:00:00.000","49738","45864","730","11236","1488","1539","1020","2842","756","892","552","11729","2461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","19","2014-05-10T00:00:00.000","50430","46520","724","11301","1501","1747","1023","2901","699","905","620","11813","2534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","20","2014-05-17T00:00:00.000","48003","44322","669","10877","1394","1642","887","2750","699","907","568","11394","2441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","21","2014-05-24T00:00:00.000","48689","44919","735","11303","1410","1574","863","2672","694","937","522","11392","2475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","22","2014-05-31T00:00:00.000","48254","44339","665","11157","1360","1632","863","2709","690","847","629","11196","2448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","23","2014-06-07T00:00:00.000","47831","43773","685","11098","1293","1549","863","2653","710","830","568","11235","2322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","24","2014-06-14T00:00:00.000","47907","44037","674","11406","1316","1599","909","2702","634","878","603","10955","2280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","25","2014-06-21T00:00:00.000","47698","43727","715","11110","1378","1613","814","2587","627","895","611","10904","2351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","26","2014-06-28T00:00:00.000","47539","43569","673","11368","1401","1571","844","2494","617","797","575","10827","2337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","27","2014-07-05T00:00:00.000","47535","43345","702","10940","1357","1515","823","2527","621","796","592","11111","2354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","28","2014-07-12T00:00:00.000","47595","43629","707","11018","1354","1562","814","2556","596","847","558","10927","2380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","29","2014-07-19T00:00:00.000","47320","43471","709","11153","1330","1639","815","2545","610","840","565","10825","2370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","30","2014-07-26T00:00:00.000","47259","43400","722","11229","1381","1618","772","2526","620","844","494","10771","2374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","31","2014-08-02T00:00:00.000","47094","43297","671","11398","1349","1535","755","2533","598","836","565","10665","2326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","32","2014-08-09T00:00:00.000","47201","43166","654","11186","1390","1614","760","2470","651","839","531","10714","2339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","33","2014-08-16T00:00:00.000","46852","42892","677","11201","1336","1580","730","2440","608","873","560","10497","2479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","34","2014-08-23T00:00:00.000","46863","42886","677","11204","1345","1620","714","2396","635","885","560","10711","2216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","35","2014-08-30T00:00:00.000","46751","42681","629","10989","1285","1498","778","2310","646","826","555","10608","2369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","36","2014-09-06T00:00:00.000","47521","43363","660","11098","1368","1622","781","2391","589","870","608","10837","2386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","37","2014-09-13T00:00:00.000","47141","43247","695","11061","1327","1627","744","2435","597","914","594","10699","2403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","38","2014-09-20T00:00:00.000","48223","44276","690","11361","1312","1730","816","2427","600","866","610","10969","2505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","39","2014-09-27T00:00:00.000","48527","44544","660","11578","1365","1718","783","2517","717","885","605","11138","2483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","40","2014-10-04T00:00:00.000","48457","44563","735","11407","1368","1751","807","2483","643","900","565","11155","2446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","41","2014-10-11T00:00:00.000","49499","45431","712","11540","1457","1840","842","2541","649","902","652","11397","2467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","42","2014-10-18T00:00:00.000","49427","45492","726","11454","1398","1890","882","2550","672","854","626","11633","2591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","43","2014-10-25T00:00:00.000","49252","45361","698","11479","1409","1933","851","2586","667","871","629","11401","2649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","44","2014-11-01T00:00:00.000","49193","45349","731","11467","1371","1937","881","2620","634","887","593","11261","2605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","45","2014-11-08T00:00:00.000","51214","47194","736","11554","1468","2056","831","2771","692","856","728","11923","2718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","46","2014-11-15T00:00:00.000","50735","46857","727","11440","1508","2041","845","2689","674","883","672","11963","2686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","47","2014-11-22T00:00:00.000","52722","48725","770","11768","1590","2146","970","2758","722","990","698","12278","2864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","48","2014-11-29T00:00:00.000","52075","48109","757","11351","1532","2229","972","2754","705","948","689","12479","2794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","49","2014-12-06T00:00:00.000","52979","49005","842","11491","1474","2280","1054","2876","734","1033","744","12401","2739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","50","2014-12-13T00:00:00.000","53714","49742","781","11585","1656","2300","1144","3025","722","1025","715","12580","2896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","51","2014-12-20T00:00:00.000","54861","50882","893","11632","1619","2247","1448","3241","801","967","755","13057","2898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","52","2014-12-27T00:00:00.000","56239","52350","871","11511","1664","2333","1695","3425","818","1052","811","13611","2889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2014","53","2015-01-03T00:00:00.000","59457","55306","965","11681","1774","2435","2293","3802","852","1051","780","14421","2932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","1","2015-01-10T00:00:00.000","61763","57636","998","11865","1820","2671","2602","3947","899","1141","668","14855","3191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","2","2015-01-17T00:00:00.000","61163","57064","963","11926","1860","2795","2368","3823","866","1164","700","14527","3077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","3","2015-01-24T00:00:00.000","58652","54617","937","11664","1790","2612","2108","3704","864","1142","668","13936","2997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","4","2015-01-31T00:00:00.000","57297","53445","853","11727","1756","2471","1875","3594","815","1092","688","13492","2981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","5","2015-02-07T00:00:00.000","57367","53260","907","11667","1647","2341","1758","3485","782","1050","658","13843","2925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","6","2015-02-14T00:00:00.000","56668","52717","926","11579","1730","2423","1594","3507","832","1107","657","13426","2916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","7","2015-02-21T00:00:00.000","56678","52648","873","11426","1707","2390","1528","3644","798","1083","612","13637","2880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","8","2015-02-28T00:00:00.000","56334","52403","853","11554","1725","2323","1522","3560","833","1104","651","13468","2958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","9","2015-03-07T00:00:00.000","56509","52369","888","11407","1727","2338","1376","3624","865","1064","588","13612","2911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","10","2015-03-14T00:00:00.000","55741","51560","882","11577","1650","2327","1369","3479","822","1046","581","13195","2844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","11","2015-03-21T00:00:00.000","54462","50354","813","11683","1527","2182","1223","3385","832","1041","621","12823","2887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","12","2015-03-28T00:00:00.000","53404","49528","807","11765","1526","2037","1160","3315","796","1030","627","12574","2764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","13","2015-04-04T00:00:00.000","53210","49168","784","11258","1582","2111","1166","3339","789","997","620","12670","2710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","14","2015-04-11T00:00:00.000","52839","48817","779","11390","1565","2087","1158","3301","791","1026","599","12523","2653",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","15","2015-04-18T00:00:00.000","52881","48844","809","11572","1534","2046","1157","3319","833","984","597","12445","2698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","16","2015-04-25T00:00:00.000","51626","47690","767","11217","1547","2008","1112","3170","724","929","579","12074","2570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","17","2015-05-02T00:00:00.000","51488","47483","744","11411","1443","2066","1060","3173","739","996","588","12254","2581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","18","2015-05-09T00:00:00.000","51693","47415","692","11367","1533","2018","908","3132","770","912","566","12107","2625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","19","2015-05-16T00:00:00.000","50716","46505","738","11356","1405","1929","959","3066","694","943","557","11847","2654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","20","2015-05-23T00:00:00.000","49396","45330","725","11080","1433","1924","897","2951","674","930","554","11501","2549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","21","2015-05-30T00:00:00.000","49849","45765","735","11339","1487","1978","908","2884","662","858","553","11648","2510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","22","2015-06-06T00:00:00.000","49260","44973","692","11189","1457","1904","864","2838","672","941","587","11372","2514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","23","2015-06-13T00:00:00.000","49813","45527","737","11172","1421","1959","879","2860","732","894","588","11437","2545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","24","2015-06-20T00:00:00.000","49117","44901","686","11265","1412","1866","846","2732","685","894","584","11252","2593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","25","2015-06-27T00:00:00.000","49071","44790","711","11257","1357","1839","867","2754","700","920","590","11314","2523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","26","2015-07-04T00:00:00.000","49247","44972","715","11413","1455","1878","800","2707","670","881","558","11325","2502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","27","2015-07-11T00:00:00.000","48950","44481","753","11070","1453","1842","813","2611","627","911","582","11377","2543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","28","2015-07-18T00:00:00.000","49266","44924","736","11380","1449","1949","813","2613","706","883","528","11406","2584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","29","2015-07-25T00:00:00.000","48661","44437","700","11372","1391","1903","756","2544","650","846","613","11297","2444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","30","2015-08-01T00:00:00.000","48714","44340","654","11234","1303","1879","738","2534","633","892","560","11336","2612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","31","2015-08-08T00:00:00.000","48323","43912","716","11212","1405","1870","796","2427","653","815","597","10977","2431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","32","2015-08-15T00:00:00.000","48194","43983","723","11365","1377","1832","784","2346","638","864","538","11068","2502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","33","2015-08-22T00:00:00.000","48468","44159","729","11383","1392","1849","768","2454","656","852","521","11063","2470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","34","2015-08-29T00:00:00.000","48522","44277","752","11331","1421","1948","796","2489","668","899","565","11115","2435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","35","2015-09-05T00:00:00.000","48753","44339","741","11451","1363","1945","756","2455","616","852","564","10988","2541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","36","2015-09-12T00:00:00.000","48820","44469","727","11307","1363","1972","794","2452","683","858","586","11172","2528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","37","2015-09-19T00:00:00.000","48972","44920","698","11447","1416","1930","763","2547","692","907","593","11200","2503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","38","2015-09-26T00:00:00.000","49307","45072","744","11383","1388","1969","785","2547","672","914","604","11153","2616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","39","2015-10-03T00:00:00.000","48888","44765","751","11519","1444","2003","858","2527","652","870","561","11229","2478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","40","2015-10-10T00:00:00.000","51096","46634","774","11649","1500","2156","878","2646","698","890","650","11757","2606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","41","2015-10-17T00:00:00.000","50038","45818","741","11382","1486","2098","851","2604","686","865","641","11417","2636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","42","2015-10-24T00:00:00.000","50927","46778","771","11429","1520","2154","916","2679","691","928","596","11748","2718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","43","2015-10-31T00:00:00.000","50484","46400","774","11464","1499","2130","869","2630","679","879","611","11564","2751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","44","2015-11-07T00:00:00.000","51179","46921","802","11509","1502","2204","916","2711","735","925","608","11753","2790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","45","2015-11-14T00:00:00.000","50753","46703","763","11274","1605","2172","832","2712","724","954","650","11679","2604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","46","2015-11-21T00:00:00.000","51813","47706","778","11547","1518","2214","891","2773","730","940","649","12122","2794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","47","2015-11-28T00:00:00.000","51496","47523","760","11323","1513","2203","870","2776","741","972","713","12124","2843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","48","2015-12-05T00:00:00.000","52070","47915","782","11227","1540","2211","970","2866","713","937","678","12327","2726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","49","2015-12-12T00:00:00.000","53755","49519","788","11691","1547","2328","966","2997","740","997","712","12722","2848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","50","2015-12-19T00:00:00.000","52273","48165","781","11369","1537","2257","991","2964","803","931","698","12343","2685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","51","2015-12-26T00:00:00.000","53216","49236","813","11467","1598","2390","971","2996","741","1026","812","12542","2746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2015","52","2016-01-02T00:00:00.000","52615","48573","822","11046","1559","2231","1136","3098","781","1041","677","12542","2792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","1","2016-01-09T00:00:00.000","55865","51720","923","11739","1695","2360","1240","3215","899","1076","656","13170","2995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","2","2016-01-16T00:00:00.000","55596","51441","854","11835","1625","2358","1260","3173","822","1072","605","13209","2874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","3","2016-01-23T00:00:00.000","55231","51221","871","11638","1696","2469","1130","3315","823","1026","605","12999","2889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","4","2016-01-30T00:00:00.000","55665","51456","838","11850","1688","2393","1169","3228","831","1023","615","13102","3033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","5","2016-02-06T00:00:00.000","55142","50817","839","11428","1590","2385","1171","3229","773","1071","617","13022","2867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","6","2016-02-13T00:00:00.000","55465","51151","827","11874","1574","2306","1195","3429","780","1023","613","13299","2805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","7","2016-02-20T00:00:00.000","56176","51836","788","11703","1676","2417","1254","3438","805","1029","630","13439","2882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","8","2016-02-27T00:00:00.000","55203","50943","875","11615","1721","2308","1317","3404","792","1030","604","12977","2829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","9","2016-03-05T00:00:00.000","55935","51532","837","11767","1618","2310","1428","3337","847","1041","653","13099","2865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","10","2016-03-12T00:00:00.000","56233","51711","873","11852","1637","2262","1459","3547","797","1102","627","13176","2850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States","2016","11","2016-03-19T00:00:00.000","54585","50137","840","11472","1581","2290","1383","3570","852","1006","624","12773","2755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
